Radiated power Lz per atom during dwell time tau at ne=1E20m**-3 and Te[1-10000eV]
P[W/m**3] = Lz * n_imp[m**-3] * ne[m**-3]
ne=1E20m**-3
     200           5 # of Te values, dwell times
Te[eV]
 2.422e-32 2.601e-32 2.774e-32 2.944e-32 3.107e-32 3.254e-32 3.392e-32 3.515e-32
 3.629e-32 3.730e-32 3.809e-32 3.867e-32 3.903e-32 3.905e-32 3.852e-32 3.741e-32
 3.557e-32 3.290e-32 3.004e-32 2.694e-32 2.365e-32 2.038e-32 1.731e-32 1.456e-32
 1.220e-32 1.056e-32 9.159e-33 7.961e-33 6.938e-33 6.058e-33 5.313e-33 4.730e-33
 4.319e-33 3.964e-33 3.670e-33 3.426e-33 3.214e-33 3.040e-33 2.932e-33 2.872e-33
 2.836e-33 2.826e-33 2.837e-33 2.848e-33 2.868e-33 2.920e-33 2.991e-33 3.081e-33
 3.189e-33 3.316e-33 3.431e-33 3.513e-33 3.610e-33 3.713e-33 3.823e-33 3.936e-33
 4.050e-33 4.160e-33 4.189e-33 4.216e-33 4.234e-33 4.239e-33 4.231e-33 4.208e-33
 4.168e-33 4.094e-33 4.002e-33 3.899e-33 3.789e-33 3.672e-33 3.549e-33 3.423e-33
 3.306e-33 3.175e-33 3.048e-33 2.924e-33 2.802e-33 2.685e-33 2.574e-33 2.482e-33
 2.375e-33 2.272e-33 2.179e-33 2.092e-33 2.011e-33 1.938e-33 1.874e-33 1.806e-33
 1.739e-33 1.676e-33 1.620e-33 1.571e-33 1.529e-33 1.491e-33 1.454e-33 1.417e-33
Lz[Wm**3] for tau[ms]= 1000.0
 1.770e-37 2.906e-37 4.739e-37 7.596e-37 1.163e-36 1.614e-36 1.939e-36 2.234e-36
 2.692e-36 3.585e-36 5.341e-36 8.471e-36 1.383e-35 2.284e-35 3.789e-35 6.001e-35
 8.690e-35 1.241e-34 1.728e-34 2.334e-34 3.090e-34 4.186e-34 5.714e-34 7.335e-34
 9.528e-34 1.248e-33 1.643e-33 2.169e-33 2.869e-33 3.788e-33 4.740e-33 5.825e-33
 7.139e-33 8.721e-33 1.063e-32 1.294e-32 1.573e-32 1.870e-32 2.158e-32 2.492e-32
 2.879e-32 3.331e-32 3.855e-32 4.459e-32 5.134e-32 5.677e-32 6.269e-32 6.909e-32
 7.615e-32 8.382e-32 9.208e-32 1.009e-31 1.076e-31 1.136e-31 1.195e-31 1.260e-31
 1.323e-31 1.386e-31 1.447e-31 1.488e-31 1.507e-31 1.527e-31 1.550e-31 1.568e-31
 1.578e-31 1.573e-31 1.540e-31 1.447e-31 1.330e-31 1.185e-31 1.010e-31 8.190e-32
 6.344e-32 4.734e-32 3.415e-32 2.599e-32 1.980e-32 1.508e-32 1.151e-32 8.846e-33
 6.864e-33 5.469e-33 4.700e-33 4.115e-33 3.695e-33 3.427e-33 3.310e-33 3.352e-33
 3.574e-33 3.872e-33 4.282e-33 4.842e-33 5.578e-33 6.516e-33 7.678e-33 8.982e-33
 1.029e-32 1.174e-32 1.332e-32 1.505e-32 1.690e-32 1.884e-32 2.066e-32 2.247e-32
 2.426e-32 2.605e-32 2.778e-32 2.948e-32 3.110e-32 3.257e-32 3.395e-32 3.518e-32
 3.631e-32 3.732e-32 3.810e-32 3.868e-32 3.901e-32 3.901e-32 3.844e-32 3.727e-32
 3.533e-32 3.254e-32 2.955e-32 2.633e-32 2.295e-32 1.962e-32 1.652e-32 1.378e-32
 1.146e-32 9.853e-33 8.491e-33 7.339e-33 6.362e-33 5.529e-33 4.828e-33 4.283e-33
 3.902e-33 3.576e-33 3.310e-33 3.091e-33 2.903e-33 2.750e-33 2.661e-33 2.616e-33
 2.595e-33 2.598e-33 2.622e-33 2.645e-33 2.676e-33 2.737e-33 2.817e-33 2.914e-33
 3.029e-33 3.163e-33 3.284e-33 3.371e-33 3.471e-33 3.578e-33 3.689e-33 3.803e-33
 3.916e-33 4.024e-33 4.050e-33 4.072e-33 4.084e-33 4.082e-33 4.065e-33 4.032e-33
 3.981e-33 3.896e-33 3.794e-33 3.682e-33 3.563e-33 3.438e-33 3.307e-33 3.174e-33
 3.051e-33 2.917e-33 2.787e-33 2.661e-33 2.540e-33 2.422e-33 2.313e-33 2.220e-33
 2.116e-33 2.017e-33 1.928e-33 1.846e-33 1.769e-33 1.701e-33 1.640e-33 1.577e-33
 1.515e-33 1.457e-33 1.407e-33 1.363e-33 1.326e-33 1.292e-33 1.259e-33 1.227e-33
