Radiated power Lz per atom during dwell time tau at ne=1E20m**-3 and Te[5-10000eV]
P[W/m**3] = Lz * n_imp[m**-3] * ne[m**-3]
ne=1E20m**-3
         204           4 # of Te values, dwell times
 1.480e-31 1.515e-31 1.540e-31 1.563e-31 1.584e-31 1.604e-31 1.620e-31 1.632e-31
 1.637e-31 1.630e-31 1.611e-31 1.581e-31 1.539e-31 1.482e-31 1.411e-31 1.329e-31
 1.243e-31 1.162e-31 1.085e-31 1.013e-31 9.476e-32 8.890e-32 8.363e-32 7.891e-32
 7.492e-32 7.123e-32 6.782e-32 6.465e-32 6.172e-32 5.901e-32 5.653e-32 5.432e-32
 5.231e-32 5.046e-32 4.876e-32 4.723e-32 4.585e-32 4.495e-32 4.462e-32 4.351e-32
 4.250e-32 4.160e-32 4.081e-32 4.012e-32 3.954e-32 3.905e-32 3.863e-32 3.820e-32
 3.782e-32 3.750e-32 3.724e-32 3.701e-32 3.681e-32 3.662e-32 3.626e-32 3.587e-32
 3.550e-32 3.544e-32 3.494e-32 3.438e-32 3.372e-32 3.297e-32 3.210e-32 3.117e-32
 3.020e-32 2.919e-32 2.816e-32 2.712e-32 2.608e-32 2.508e-32 2.413e-32 2.321e-32
 2.232e-32 2.146e-32 2.063e-32 1.983e-32 1.909e-32 1.842e-32 1.778e-32 1.717e-32
 1.660e-32 1.605e-32 1.553e-32 1.504e-32 1.462e-32 1.422e-32 1.385e-32 1.350e-32
 1.317e-32 1.286e-32 1.257e-32 1.232e-32 1.209e-32 1.187e-32 1.167e-32 1.148e-32
 1.131e-32 1.115e-32 1.100e-32 1.087e-32
Lz[Wm**3] for tau[ms]=  100.0
 2.185e-32 2.504e-32 2.804e-32 3.084e-32 3.388e-32 3.719e-32 4.081e-32 4.481e-32
 4.925e-32 5.377e-32 5.767e-32 6.196e-32 6.668e-32 7.190e-32 7.771e-32 8.420e-32
 9.146e-32 9.736e-32 1.039e-31 1.112e-31 1.194e-31 1.286e-31 1.389e-31 1.503e-31
 1.603e-31 1.702e-31 1.807e-31 1.917e-31 2.032e-31 2.149e-31 2.265e-31 2.360e-31
 2.432e-31 2.495e-31 2.546e-31 2.581e-31 2.598e-31 2.592e-31 2.561e-31 2.512e-31
 2.448e-31 2.372e-31 2.283e-31 2.185e-31 2.078e-31 1.964e-31 1.864e-31 1.763e-31
 1.659e-31 1.553e-31 1.444e-31 1.333e-31 1.219e-31 1.110e-31 1.003e-31 8.966e-32
 7.911e-32 6.886e-32 5.912e-32 5.019e-32 4.263e-32 4.079e-32 3.659e-32 3.177e-32
 2.821e-32 2.591e-32 2.481e-32 2.483e-32 2.575e-32 2.697e-32 2.872e-32 3.096e-32
 3.365e-32 3.679e-32 4.041e-32 4.455e-32 4.813e-32 5.198e-32 5.617e-32 6.069e-32
 6.547e-32 7.047e-32 7.560e-32 7.989e-32 8.369e-32 8.749e-32 9.130e-32 9.515e-32
 9.908e-32 1.031e-31 1.068e-31 1.069e-31 1.097e-31 1.128e-31 1.160e-31 1.193e-31
 1.228e-31 1.266e-31 1.304e-31 1.332e-31 1.362e-31 1.393e-31 1.426e-31 1.460e-31
 1.495e-31 1.530e-31 1.555e-31 1.578e-31 1.599e-31 1.617e-31 1.633e-31 1.643e-31
 1.646e-31 1.634e-31 1.607e-31 1.563e-31 1.498e-31 1.411e-31 1.306e-31 1.193e-31
 1.088e-31 1.001e-31 9.261e-32 8.622e-32 8.075e-32 7.600e-32 7.180e-32 6.804e-32
 6.478e-32 6.176e-32 5.896e-32 5.636e-32 5.395e-32 5.175e-32 4.973e-32 4.792e-32
 4.626e-32 4.475e-32 4.339e-32 4.218e-32 4.112e-32 4.044e-32 4.019e-32 3.935e-32
 3.858e-32 3.791e-32 3.734e-32 3.687e-32 3.649e-32 3.621e-32 3.598e-32 3.570e-32
 3.548e-32 3.530e-32 3.516e-32 3.504e-32 3.492e-32 3.475e-32 3.434e-32 3.382e-32
 3.326e-32 3.316e-32 3.232e-32 3.128e-32 3.004e-32 2.861e-32 2.710e-32 2.556e-32
 2.402e-32 2.252e-32 2.108e-32 1.972e-32 1.844e-32 1.729e-32 1.628e-32 1.534e-32
 1.447e-32 1.367e-32 1.295e-32 1.228e-32 1.169e-32 1.119e-32 1.073e-32 1.032e-32
 9.956e-33 9.629e-33 9.340e-33 9.089e-33 8.875e-33 8.687e-33 8.524e-33 8.383e-33
 8.265e-33 8.169e-33 8.093e-33 8.026e-33 7.970e-33 7.927e-33 7.896e-33 7.878e-33
 7.871e-33 7.875e-33 7.883e-33 7.889e-33
Lz[Wm**3] for tau[ms]= 1000.0
 2.192e-32 2.510e-32 2.810e-32 3.089e-32 3.392e-32 3.723e-32 4.085e-32 4.485e-32
 4.928e-32 5.380e-32 5.771e-32 6.199e-32 6.671e-32 7.194e-32 7.775e-32 8.425e-32
 9.151e-32 9.741e-32 1.040e-31 1.113e-31 1.195e-31 1.287e-31 1.389e-31 1.504e-31
 1.604e-31 1.703e-31 1.808e-31 1.918e-31 2.033e-31 2.150e-31 2.266e-31 2.361e-31
 2.432e-31 2.495e-31 2.546e-31 2.581e-31 2.597e-31 2.591e-31 2.559e-31 2.509e-31
 2.445e-31 2.368e-31 2.280e-31 2.181e-31 2.074e-31 1.960e-31 1.860e-31 1.759e-31
 1.655e-31 1.549e-31 1.440e-31 1.329e-31 1.214e-31 1.105e-31 9.986e-32 8.918e-32
 7.863e-32 6.838e-32 5.865e-32 4.973e-32 4.220e-32 4.037e-32 3.619e-32 3.140e-32
 2.788e-32 2.563e-32 2.458e-32 2.465e-32 2.561e-32 2.687e-32 2.866e-32 3.093e-32
 3.365e-32 3.682e-32 4.046e-32 4.463e-32 4.824e-32 5.212e-32 5.633e-32 6.087e-32
 6.568e-32 7.069e-32 7.584e-32 8.013e-32 8.393e-32 8.773e-32 9.153e-32 9.538e-32
 9.930e-32 1.033e-31 1.070e-31 1.071e-31 1.099e-31 1.130e-31 1.162e-31 1.195e-31
 1.230e-31 1.268e-31 1.306e-31 1.334e-31 1.363e-31 1.395e-31 1.427e-31 1.461e-31
 1.496e-31 1.532e-31 1.557e-31 1.579e-31 1.600e-31 1.619e-31 1.634e-31 1.644e-31
 1.647e-31 1.634e-31 1.606e-31 1.561e-31 1.493e-31 1.403e-31 1.294e-31 1.178e-31
 1.072e-31 9.844e-32 9.098e-32 8.469e-32 7.933e-32 7.470e-32 7.060e-32 6.694e-32
 6.376e-32 6.080e-32 5.806e-32 5.552e-32 5.317e-32 5.101e-32 4.904e-32 4.727e-32
 4.564e-32 4.417e-32 4.285e-32 4.167e-32 4.063e-32 3.998e-32 3.974e-32 3.893e-32
 3.818e-32 3.753e-32 3.698e-32 3.653e-32 3.618e-32 3.592e-32 3.571e-32 3.544e-32
 3.523e-32 3.507e-32 3.495e-32 3.484e-32 3.472e-32 3.455e-32 3.413e-32 3.360e-32
 3.301e-32 3.291e-32 3.202e-32 3.092e-32 2.960e-32 2.809e-32 2.650e-32 2.488e-32
 2.328e-32 2.172e-32 2.024e-32 1.885e-32 1.756e-32 1.640e-32 1.539e-32 1.445e-32
 1.359e-32 1.281e-32 1.210e-32 1.146e-32 1.089e-32 1.041e-32 9.982e-33 9.597e-33
 9.255e-33 8.954e-33 8.693e-33 8.468e-33 8.278e-33 8.113e-33 7.973e-33 7.856e-33
 7.761e-33 7.687e-33 7.633e-33 7.586e-33 7.548e-33 7.523e-33 7.511e-33 7.510e-33
 7.521e-33 7.543e-33 7.566e-33 7.587e-33
